Akronim,Kepanjangan
PSUNI,Partai Solidaritas Uni Nasional Indonesia
PSW.,Pesawat (telepon)
PT,"""""1 perseroan terbatas, 2 perguruan tinggi"
PTIK,Perguruan Tinggi Ilmu Kepolisian
PTIQ,Perguruan Tinggi Ilmu Alquran
PTMSI,Persatuan Tenis Meja Seluruh Indonesia
PTN,perguruan tinggi negeri
PTP,penduduk tanpa perkembangan
PTS,perguruan tinggi swasta
PTUN,Pengadilan Tata Usaha Negara
PU,"""""1 Pekerjaan Umum, 2 perusahaan umum"
PUDEK,pembantu dekan
PUDI,Partai Uni Demokrasi Indonesia
PUEYD,Pedoman Umum Ejaan Bahasa Indonesia Yang Disempurnakan
PUHH,penatausahaan hasil hutan
PUI,"""""1 Persatuan Umat Islam, 2 Partai Umat Islam"
PUIL,Peraturan Umum Instalasi Listrik
PUKET,pembantu ketua
PUMI,Partai Umat Muslimin Indonesia
PUNGLI,pungutan liar
PUPI,Pedoman Umum Pembentukan Istilah
PUPR,Pekerjaan Umum dan Perumahan Rakyat
PUREK,pembantu rektor
PUSBADHI,pusat dan pengabdi hukum Indonesia
PUSBINDIKLAT,Pusat Pembinaan Pendidikan Dan Pelatihan
PUSBINTAL,pusat pembinaan mental
PUSCADNAS,pusat cadangan nasional
PUSDAL LH,pusat pengendalian lingkungan hidup
PUSDALOPBANG,pusat pengendalian operasi pembangunan
PUSDIKLAT,pusat pendidikan dan pelatihan
PUSINTEL,pusat intelijen
PUSJARAH ABRI,Pusat Sejarah ABRI
PUSKESDES,Pusat Kesehatan Desa
PUSKESMAS,pusat kesehatan masyarakat
PUSKUD,Pusat Koperasi Unit Desa
PUSLABFOR,Pusat Laboratorium Forensik
PUSLITBANG,Pusat Penelitian dan Pengembangan
PUSPEN,pusat penerangan
PUSPITEK,Pusat Penelitian Ilmu Pengetahuan dan Teknologi
PUSRI,Pupuk Sriwijaya
PUSROH,pusat rohani
PUSTEKOM,Pusat Teknologi Komunikasi
PUSTU,puskesmas pembantu
PVMBG,Pusat Vulkanologi dan Mitigasi Bencana Geologi
PWI,Persatuan Wartawan Indonesia
PWRI,Persatuan Wredatama Republik Indonesia
R I,Republik Indonesia
R.A.,"""""1 Raden Ajeng, 2 Raden Ayu"
R,"""""1 Reaumur, 2 Raden"
RABA,Rawan Bahaya
RACON,radar beacon
RAKER,rapat kerja
RAKERDASUS,rapat kerja daerah khusus
RAKERNAS,rapat kerja nasional
RAKOR,rapat koordinasi
RANMOR,kendaraan bermotor
RANPUR,kendaraan tempur
RANTAP,rancangan ketetapan
RANTIS,kendaraan taktis
RANTUS,rancangan keputusan
RAPBD,Rancangan Anggaran Pendapatan dan Belanja Daerah
RAPBN,Rancangan Anggaran Pendapatan dan Belanja Negara
RAPI,Radio Antar-Penduduk Indonesia
RAPIM,rapat pimpinan
RAT,rapat anggota tahunan
RCTI,Rajawali Citra Televisi Indonesia
RDTR,Rencana Detail Tata Ruang
RED.,redaksi
REF,referensi
REG.,register
REHAB,rehabilitasi
REI,Real Estate Indonesia
REKONFU,"""""reorganisasi, konsolidasi, dan fungsionalisasi"
RENOP,rencana operasi
RENSTRA,rencana strategi
REPELITA,rencana pembangunan lima tahun
RESKO,resor kota
RESKRIM,reserse kriminal
RESMOB,reserse mobil
RESTIK,reserse narkotika
RHS.,Rahasia
RI,Republik Indonesia
RIN,Resimen Induk
RIP,"""""1 rencana induk pembangunan, 2 rest in pace"
RIP KEHATI,rencana induk pengelolaan keanekaragaman hayati
RIPIN,rencana induk pembangunan industri nasional
RIPPP,Rencana Induk Percepatan Pembangunan Papua
RIS,Republik Indonesia Serikat
RK2IK,Rumah Kolaborasi dan Konsultasi Iklim dan Karbon
RKAKL,Rencana Kerja dan Anggaran-Kementerian dan Lembaga
RKASK,Rencana Kerja dan Anggaran-Satuan Kerja
RKL,rencana pengelolaan lingkungan hidup
RKP,rencana kerja pemerintah
RKPD,rencana kerja pemerintah daerah
RKTN,rencana kehutanan tingkat nasional
RM,Raden Mas
RMS,Republik Maluku Selatan
RP,Rupiah
RPH,rumah potong hewan
RPIK,"""""1 rencana pembangunan industri kabupaten, 2 rencana pembangunan industri kota"
RPIP,rencana pembangunan industri provinsi
RPJM,rencana pembangunan jangka menengah
RPJMD,rencana pembangunan jangka menengah daerah
RPJMN,rencana pembangunan jangka menengah nasional
RPJP,rencana pembangunan jangka panjang
RPJPD,rencana pembangunan jangka panjang daerah
RPJPN,rencana pembangunan jangka panjang nasional
RPKAD,Resimen Para Komando Angkatan Darat
RPL,rencana pemantauan lingkungan hidup
RPMBN,rencana pengelolaan mineral dan batubara nasional
RPPEG,rencana perlindungan dan pengelolaan ekosistem gambut
RPPLH,rencana perlindungan dan pengelolaan lingkungan hidup
RPPMA,rencana perlindungan dan pengelolaan mutu air
RPPML,rencana perlindungan dan pengelolaan mutu laut
RPPMU,rencana perlindungan dan pengelolaan mutu udara
RR.,Raden roro
RRA,Rapid Rural Appraisal
RRC,Republik Rakyat Cinta
RRI,Radio Republik Indonesia
RS,Rumah Sakit
RSAD,Rumah Sakit Angkatan Darat
RSAL,Rumah Sakit Angkatan Laut
RSB,Rumah Sakit Bersalin
RSIA,Rumah Sakit Ibu dan Anak
RSJ,Rumah Sakit Jiwa
RSPAD,Rumah Sakit Pusat Angkatan Darat
RSU,Rumah Sakit Umum
RSUD,Rumah Sakit Umum Daerah
RSUP,Rumah Sakit Umum Pusat
RT,rukun tetangga
RTBL,rencana tata bangunan dan lingkungan
RTF,"""""1 radio, televisi, dan film, 2 rich text format"
RTR,rencana tata ruang
RTRL,Rencana Tata Ruang Laut
RTRW,rencana tata ruang wilayah
RUBT,ruang udara bertekanan tinggi
RUDAL,peluru kendali
RUED,rencana umum energi daerah
RUED-P,rencana umum energi daerah provinsi
RUEN,rencana umum energi nasional
RUKD,rencana umum ketenagalistrikan daerah
RUKN,rencana umum ketenagalistrikan nasional
RUKO,rumah toko
RUPS,rapat umum pemegang saham
RUPTL,rencana usaha penyediaan tenaga listrik
RUSUN,rumah susun
RUSUNAWA,rumah susun sewa
RUTAN,rumah tahanan
RUU,rancangan undang-undang
RUUD,rancangan undang-undang darurat
RW,rukun keluarga
RZ,rencana zonasi
RZWP3K,rencana zonasi wilayah pesisir dan pulau-pulau kecil
RZWP-3-K,rencana zonasi wilayah pesisir dan pulau-pulau kecil
S-1,Strata 1
S-2,Strata 2
S-3,Strata 3
S.AG.,Sarjana Agama
S.D.,sampai dengan
S.E.,Sarjana Ekonomi
S.H.,Sarjana Hukum
S.K.M.,Sarjana Kesehatan Masyarakat
S.KEDG.,Sarjana Kedokteran Gigi
S.KEDH.,Sarjana Kedokteran Hewan
S.KOM,Sarjana Komputer
S.PD.,Sarjana Pendidikan
S.PD,Sarjana Pendidikan
S.POL.,Sarjana IImu Politik
S.PSI.,Sarjana Psikologi
S.S.,Sarjana Sastra
S.SI.,Sarjana Sains
S.SN.,Sarjana Seni
S.SOS.,Sarjana Ilmu Sosial
S.T.,Sarjana Teknik
S.TEKP.,Sarjana Teknologi Pertanian
S.TH.,Sarjana Theologi
SABHARA,Samapta Bhayangkara
SABUGA,sasana budaya ganesha
SAI,Sistem Akuntansi Instansi
SAMSAT,sistem administrasi manunggal satu atap
SAP,satuan acara perkuliahan
SAR,Search and Rescue (Cari dan Selamatkan)
SARA,"""""suku, agama, ras, dan antargolongan"
SARUSUN,satuan rumah susun
SAS,struktural analitis sintesis
SATGAS,satuan tugas
SATKER,satuan kerja
SATKORLAK,satuan koordinator pelaksana
SATLINMA,Satuan Lintas Masyarakat
SATPAM,satuan pengamanan
SATPEL,satuan pelajaran
SATPOLANTAS,kesatuan polisi lalu lintas
SAW,"""""shalallaahu alaihi wassalaam, artinya semoga Allah swt memberikan sholawat dan salam kepadanya, lihat jugahttps://id.wiktionary.org/wiki/Lampiran:Daftar_singkatan_dan_akronim_dalam_bahasa_Indonesia#Bahasa_asing"
SBI,"""""1 sekolah bertaraf internasional, 2 Sertifikat Bank Indonesia"
SBKRI,surat bukti kewarganegaraan Republik Indonesia
SBN,Surat berharga negara
SBY,Susilo Bambang Yudhoyono
SCTV,Surya Citra Televisi
SD,Sekolah Dasar
SDA,sumber daya alam
SDG,sumber daya genetik
SDLB,sekolah dasar luar biasa
SDM,sumber daya manusia
SDN,Sekolah Dasar Negeri
SDR,special drawing rights
SDSB,Sumbangan Dermawan Sosial Berhadiah
SE,Sarjana Ekonomi
SECABA,sekolah calon bintara
SECAPA,sekolah perwira
SECATAM,sekolah calon tamtama
SEKDA,skretaris daerah
SEKJEN,sekretaris jenderal
SEKUM,Sekretaris Umum
SEKWILDA,sekretaris wilayah daerah
SELEKNAS,seleksi nasional
SELMIS,selection mini shop
SEMBAKO,sembilan bahan pokok
SEMILOKA,seminar dan lokakarya
SENDRATARI,seni drama tari
SENDRATASIK,"""""seni, drama, tari, dan musik"
SEPADA,sekiolah pompinan administrasi dasar
SEPADIA,sekolah pimpinan administrasi tingkat madia
SEPALA,sekolah pimpinan administrasi lanjutan
SEPAWAMIL,sekolah perwira wajib militer
SERDA,sersan dua
SERDAPOL,sersan dua polisi
SERKA,sersan kepala
SERKAPOL,sersan kepala polisi
SERMA,sersan mayor
SERMAPOL,sersan mayor polisi
SERTIJAB,serah terima jabatan
SERTU,sersan satu
SERTUPOL,sersan satu polisi
SESDALOPBANG,Sekretaris Pengendalian Operasional Pembangunan
SESKO,sekolah staf dan komando
SESKOAD,Sekolah Staf dan Komando Angkatan Darat Bersenjata Republik Indonesia
SESKOAL,Sekolah Staf dan Komando Angkatan laut
SESKOAU,Sekolah Staf dan Komando Angkatan udara
SESKOGAB,Sekolah Staf dan Komando Gabungan
SESKOPOL,Sekolah Staf dan Komando Kepolisian
SESMIL,sekretaris militer
SESNEG,Sekretaris Negara
SESPA,Sekolah Staf dan Pimpinan Administrasi
SESPIMPOL,Sekolah Staf dan Pimpinan Kepolisian
SESPRI,sekretaris pribadi
SETJEN,sekretariat jenderal
SETMIL,sekretariat militer
SETNEG,Sekretariat Negara
SETUM,sekretariat umum
SGA,sekolah guru A
SGB,sekolah guru B
SGO,sekolah guru olahraga
SGPLB,sekolah guru pendidikan luar biasa
SH,Sarjana Hukum
SI MPR,Sidang Istimewa Majelis Permusyarakatan Rakyat
SI,"""""1 Syarikat Islam, 2 Systeme International (d'Unites), 3 Surveyor Indonesia"
SIA,Singapore Airlines
SIAP,sisa anggaran pembangunan
SIDAK,inspeksi mendadak
SIFI,Ikatan Sarjana Farmasi Indonesia
SIH,standar industri hijau
SII,Standar Industri Indonesia
SIKON,situasi dan kondisi
SIKT,Sistem Informasi Kebudayaan Terpadu
SIM,"""""1 surat izin mengemudi, 2 Sistem Informasi Manajemen"
SIMKRI,Sistem Informasi Manajemen Kepegawaian Republik Indonesia
SIMPEDES,simpanan pedesaan
SIMPEL,Sistem Informasi Pelaporan Elektronik Lingkungan Hidup
SIP,surat izin praktik
SIPD,sistem informasi pemerintahan daerah
SIPEDES,siaran pedesaan
SIPENMARU,seleksi penerimaan mahasiswa baru
SIPPT,surat izin penunjuk penggunaan tanah
SIPSN,Sistem Informasi Pengelolaan Sampah Nasional
SISCANDU,sistem perencanaan terpadu
SISKAMLING,sistem keamanan lingkungan
SISTEP,sistem tempat pembayaran
SIT,surat izin terbit
SIUP,surat izin usaha perdagangan
SIUPP,surat izin usaha penerbitan pers
SIWO,Seksi Wartawan Olahraga (PWI)
SJ,Societatis Jesuit
SK,surat keputusan
SKA,surat keterangan asal
SKALU,Sekretariat Kerja Sama Antara Lima Universitas
SKB,"""""1 Sanggar Kegiatan Belajar, 2 surat keputusan bersama"
SKKL,sistem komunikasi kabel laut
SKN,Sistem Kesehatan Nasional
SKO,surat keputusan otorisasi
SKODAM,Staf Komando Daerah Militer
SKOGAR,Staf Komando Garnisun
SKPD,"""""1 satuan kerja perangkat daerah, 2 Surat Ketetapan Pajak daerah"
SKS,satuan kredit semester
SKSD,sistem komunikasi satelit domestik
SKSHH,Surat Keterangan Sah Hasil Hutan
SLB,sekolah luar biasa
SLI,sambungan langsung internasional
SLJJ,sambungan langsung jarak jauh
SLO,surat kelayakan operasional
SLTA,Sekolah Lanjutan Tingkat Atas
SLTP,Sekolah Lanjutan Tingkat Pertama
SM,"""""1 sebelum Masehi, 2 sarjana muda"
SMA,"""""1 sekolah menengah atas, 2 Scientific Milk Adaptation"
SMAN,Sekolah Menengah Atas Negeri
SMDT,sepeda motor dua tak
SMEA,sekolah menengah ekonomi atas
SMET,sepeda motor empat tak
SMP,Sekolah Menengah Pertama
SMPN,Sekolah Menegah Pertama Negeri
SMTA,sekolah menengah tingkat atas
SMTP,"""""1 sekolah menengah tingkat pertama, 2 sekolah menengah teknologi pertanian"
SOKSI,Sentral Organisasi Karyawan Swadiri Indonesia
SOSBUD,sosial-budaya
SOSEK,sosial-ekonomi
SOSPOL,sosial-politik
SOTK,struktur organisasi dan tata kerja
SP-1,spesialis satu
SP-2,spesialis dua
SP-3,Surat Perintah Penghentian Penyidikan
SPBE,sistem pemerintahan berbasis elektronik
SPE,sertifikat penurunan emisi
SPEED,Sistem Pelaporan dan Evaluasi Digital
SPG,sekolah pendidikan guru
SPIB,surat pemutihan izin bangunan
SPJ,surat pertanggungjawaban
SPK,surat perintah kerja
SPKLU,stasiun pengisian kendaraan listrik umum
SPLU,stasiun pengisian listrik umum
SPM,surat perintah membayar
SPMA,sekolah pertanian menengah atas
SPMB,sistem penerimaan masiswa baru
SPMII,Serikat Pekerja Metal Indonesia
SPMK,surat perintah mulai kerja
SPN,Serikat Pekerja Nasional
SPP,"""""1 surat persetujuan pembayaran, 2 sumbangan pembinaan pendidikan, 3 surat perjanjian penerbitan"
SPPD,surat perintah perjalanan dinas
SPPL,surat pernyataan kesanggupan pengelolaan dan pemantauan lingkungan hidup
SPPT,surat pemberitahuan pajak tahunan
SPPU,surat perintah pengeluaran uang
SPRT,surat pemberitahuan retribusi terutang
SPS,Serikat Perusahaan Surat kabar
SPSI,Serikat Pekerja Seluruh Indonesia
SPSP,Suaka Peninggalan Sejarah dan Purbakala
SR INSP POL,senior inspektur polisi
SR SUPT,senior superintenden
SR,skala Richter
SRN,Sistem Registri Nasional
SSK.,"""""1 satuan saham kolektif, 2 satuan setingkat kompi"
ST MPR,Sidang Tahunan Majelis Pemusyawaratan Rakyat
ST.,Sutan
STIA,sekolah tinggi ilmu administrasi
STKIP,sekolah tinggi keguruan dan ilmu pendidikan
STKJ,Sekolah Tinggi Kesenian Jakarta
STM,"""""1 sekolah teknik menengah, 2 surat tanda melaporkan"
STN,sekolah teknik negeri
STNK,surat tanda nomor kendaraan
STO,"""""1 Sekolah Olahraga, 2 sentral telepon otomat, 3 stasiun telepon otomat"
STOD,satuan telepon otomat digital
STRANAS,strategi nasional
STTB,surat tanda tamat belajar
STTN,Sekolah Tinggi Teknologi Nasional
SU MPR,Sidang Umum Majelis Pemusyawaratan Rakyat
SU,"""""1 sarjana utama, 2 sidang umum"
SUBBAG,subbagian
SUBBID,subbidang
SUBUD,Susila Budhi Dharma
SUCOFINDO,Superintending Company of Indonesia
SUIK,sarana usaha industri kecil
SUKWAN,sukarelawan
SULBAR,Sulawesi Barat
SULSEL,Sulawesi Selatan
SULTENG,Sulawesi Tengah
SULTRA,Sulawesi Tenggara
SULUT,Sulawesi Utara
SUMBAR,Sumatera Barat
SUMSEL,Sumatera Selatan
SUMTENG,Sumatera Tengah
SUMTIM,Sumatera Timur
SUMUT,Sumatera Utara
SUPERSEMAR,Surat Perintah Sebelas Maret
SUPM,Sekolah Usaha Perikanan Menengah
SUPT,superintenden
SURAMADU,Surabaya Madura
SUSCADOS,kursus calon dosen
SUSDUK,susunan kedudukan
SUSI,Sekolah Umum Susastra Islam
SUSPALA,kursus lanjutan perwira
SUTET,saluran utama tegangan tinggi
SUTM,saluran udara tegangan menengah
SY.,Serikat Yesuit
SWT,"""""subhanahu wata'ala, artinya Mahasuci dan Mahatinggi, lihat jugahttps://id.wiktionary.org/wiki/Lampiran:Daftar_singkatan_dan_akronim_dalam_bahasa_Indonesia#Bahasa_asing"
T.,teuku
TA,1 tahun anggaran 2 tenaga ahli
TABANAS,tabungan pembangunan nasional
TAHAPAN,tabungan hari depan
TAKLING,takbir keliling
TAMPUR,Taman Puring
TANGSEL,Tangerang Selatan
TANNAS,ketahanan nasional
TAP.,Ketetapan
TAPELPRAM,tabungan pelajar dan pramuka
TAPEM,tata pemerintahan
TAPERA,Tabungan Perumahan Rakyat
TAPLUS,tabungan plus
TAPOL,tahanan politik
TAPSEL,Tapanuli Selatan
TAPTENG,Tapanuli Tengah
TAPUT,Tapanuli Utara
TARLING,"""""1 gitar dan suling, 2 tarawih keliling"
TASKA,tabungan asuransi berjangka
TASPEN,tabungan dan ansuransi pegawai negeri
TB.,Tubagus
TDU,tanda daftar usaha
TEIB,tata ekonomi internasional baru
TEKAB,Tim Khusus Antibandit
TEL.,telepon
TELKOM,telekomunikasi
TELSTRA,telaah strategi
TELSTRANAS,telaah strategi nasional
TEVE,televisi
TGPF,Tim Gabungan Pencari Fakta
THR,"""""1 taman hiburan rakyat, 2 taman hiburan dan rekreasi, 3 tunjangan hari raya, 4 Taman Hutan Raya"
THT,"""""telinga, hidung, dan tenggorok"
TIBMAS,ketertiban masyarakat
TIBUM,ketertiban umum
TID,tunjangan ikatan dinas
TIK,tujuan instruksional khusus
TILANG,bukti pelanggaran
TIM,"""""1 Taman Ismail Marzuki, 2Thermal Interface Material"
TIMOR,teknologi industri mobil rakyat
TIMSIN,tim sinkronisasi
TIMSUS,tim khusus
TIMTENG,Timur Tengah
TIMTIM,Timor Timur
TIMUM,tim umum
TIMUS,tim perumus
TIPA,tipus paratipus
TIU,tujuan instruksional umum
TK,Taman Kanak Kanak
TKHI,Tim Kesehatan Haji Indonesia
TKI,Tenaga Kerja Indonesia
TKP,Tempat Kejadian Perkara
TKPH,Tentara Khusus Pengamanan Hutan
TKR,Tentara Keamanan Rakyat
TKW,Tenaga Kerja Wanita
TLN,Tambahan Lembaran Negara (Hukum)
TMII,Taman Mini Indonesia Indah
TMMD,TNI Manunggal Masuk Desa
TMP,Taman Makam Pahlawan
TMR,Taman Margasatwa Ragunan
TNI AD,Tentara Negara Indonesia Angkatan Darat
TNI AL,Tentara Negara Indonesia Angkatan Laut
TNI AU,Tentara Negara Indonesia Angkatan Udara
TNI,Tentara Nasional Indonesia
TOFI,Tim Olimpiade Fisika Indonesia
TOGA,tanaman obat keluarga
TOGEL,toto gelap
TOR,petunjuk operasional rutin
TOSERBA,toko serba ada
TPA,Taman Pengajian Al Qur'an
TPF,tim pencari fakta
TPHI,Tim Pembimbing Haji Indonesia
TPHT,Tim Pengamanan Hutan Terpadu
TPI,"""""1 Televisi Pendidikan Indonesia, 2 tebang pilih Indonesia, 3 tambahan pembayaran impor, 4 tempat pelelangan ikan"
TPIHI,Tim Pembimbing Ibadah Haji Indonesia
TPK,tujuan pengajaran khusus
TPPPPP,Tim Penanganan dan Penanggulangan Perkara Penyelundupan Pusat
TPPPPD,Tim Penanganan dan Penanggulangan Perkara Penyelundupan Daerah
TPR,tanda pembayaran retribusi
TPS,tempat pemungutan suara
TPTI,tebang pilih dan tanam Indonesia
TPU,"""""1 tujuan perbaikan pengajaran umum, 2 tempat pemakaman umum"
TRI,"""""1 tebu rakyat intensifikasi, 2 Tentara Rakyat Indonesia"
TRIKORA,trikomando rakyat
TRIP,Tentara Republik Indonesia Pelajar
TRITURA,tri tuntutan rakyat
TSSB,tanda sumbangan sosial berhadiah
TST,tahu sama tahu
TTS,teka-teki silang
TU,tata usaha
TUPOKSI,tugas pokok dan fungsi
TURBA,turun ke bawah
TURBINLAKWAS,"""""pengaturan, pembinaan, pelaksanaan, dan pengawasan"
TUSI,tugas dan fungsi
TV,televisi
TVRI,Televisi Republik Indonesia
TWC,Taman Wisata Candi
U.B.,untuk beliau
UB,Usaha Bersama
U.P.,untuk perhatian
UD,usaha dagang
UDKP,unit daerah kerja pembangunan
UGD,Unit Gawat Darurat
UKM,Usaha Kecil dan Menengah
UKS,usaha kesehatan di sekolah
ULTAH,ulang tahun
UMK,usaha mikro dan kecil
UMP,upah minimum provinsi
UMPTN,ujian masuk perguruan tinggi negeri
UMR,upah minimum regional
UOPB,Unit Operasi Penanggulangan Bencana
UPKG,usaha perbaikan gizi keluarga
UPM,usaha pertanian menetap
UPP,unit pelaksana proyek
UPPDN,Unit Pengolahan dan Pemasaran Dalam Negeri
UPT,"""""1 unit pelaksana teknis, 2 unit pemukiman transmigrasi"
UPTD,unit pelaksana teknis daerah
URDAL,urusan dalam
USB,Universal Serial Bus
USG,ultrasonografi
UT,Universitas Terbuka
UU,undang-undang
UUCB,Undang-Undang Cagar Budaya
UUD '45,Undang-Undang Dasar 1945
UUD,Undang-Undang Dasar
UUDS,Undang-Undang Dasar Sementara
UUHC,Undang-Undang Hak Cipta
UUP,Undang-Undang Perkawinan
UUPA,Undang-Undang Pokok Agaria
UUPM,Undang-Undang Penanaman Model
UUSPN,Undang-Undang Sistem Pendidikan Nasional
UAJY,Universitas Atma Jaya Yogyakarta
UGM,Universitas Gadjah Mada
UHAMKA,Universitas Prof. Dr. Hamka
UI,Universitas Indonesia
[[UII],Universitas Islam Indonesia
UIN,Universitas Islam Negeri
UKDW,Universitas Kristen Duta Wacana (ukdw.ac.id)
UKL-UPL,upaya pengelolaan lingkungan hidup dan upaya pemantauan lingkungan hidup
UKP4,Unit Kerja Presiden Bidang Pengawasan dan Pengendalian Pembangunan
UKRIDA,Universitas Kristen Krida Wacana
UKRIM,Universitas Kristen Immanuel
UM,Universitas Negeri Malang
UMM,Universitas Muhammadiyah Malang
UMY,Universitas Muhammadiyah Yogyakarta
UNAIR,Universitas Airlangga
UNAND,Universitas Andalas
UNCEN,Universitas Cederawasih
UNCOK,Universitas Cokroaminoto
UNDANA,Universitas Nusa Cendana
UNDIP,Universitas Diponegoro
UNEJ,Universitas Jember
UNES,Universitas Negeri Semarang
UNESA,Universitas Negeri Surabaya
UNHALU,Universitas Haluoleo
UNHAS,Universitas Hasanuddin
UNHATTA,Universitas Bung Hatta
UNHO,Universitas Haluoleo
UNI RAYA,Universitas Palangkaraya
UNIB,Universitas Bengkulu
UNIBRAW,Universitas Brawijaya
UNILA,Universitas Lampung
UNIR,Universitas Islam Riau
UNJ,Universitas Negeri Jakarta
UNJAM,Universitas Jambi
UNJANI,Universitas Jenderal Ahmad Yani
UNLAM,Universitas Lambang Mangkurat
UNM,Universitas Negeri Makassar
UNMUL,Universitas Mulawarman
UNP,Universitas Negeri Padang
UNPAD,Universitas Padjadjaran
UNPAM,Universitas Pamulang
UNPAR,Universitas Parahiangan
UNPATTI,Universitas Pattimura
UNRAM,Universitas Mataram
UNRI,Universitas Riau
UNS,Universitas Negeri Sebelas Maret
UNSADA,Universitas Dharma Persada
UNSIQ,Universitas Sains Al-Qur'an
UNSOED,Universitas Jenderal Soedirman
UNSRAT,Universitas Sam Ratulangi
UNSRI,Universitas Sriwijaya
UNSUD,Universitas Jenderal Sudirman
UNSYIAH,Universitas Syiah Kuala
UNTAD,Universitas Tadulako
UNTAG,Universitas Tujuh Belas Agustus
UNTAN,Universitas Tanjungpura
UNTAR,Universitas Tarumanagara
UNUD,Universitas Udayana
UNY,Universitas Negeri Yogyakarta
UPI,Universitas Pendidikan Indonesia
USAKTI,Universitas Trisakti
USD,Universitas Sanata Dharma
USINDO,Usaha Industri Indonesia
UST,Univertas Sarjanawiyata Tamansiswa
USU,Universitas Sumatra Utara
UTY,Universitas Teknologi Yogyakarta
UMB,Universitas Mercu Buana
VUTW,Varietas Unggul Tahan Wereng
WADAM,hawa adam
WADAN,wakil komandan
WADIR,wakil direktur
WAGUB,wakil gubernur
WAKA,wakil kepala
WAKAS,wakil kepala staf
WAKASEK,Wakil Kepala Sekolah
WALAWA,wajib latih masiswa
WALHI,Wahana Lingkungan Hidup Indonesia
WALUBI,Wali Umat Buddha Indonesia
WAMIL,wajib militer
WANHANKAMNAS,Dewan Pertahanan Keamanan Nasional
WANRA,perlawanan rakyat
WANTANNAS,Dewan Ketahanan Nasional
WANTIKNAS,Dewan Teknologi Informasi dan Komunikasi Nasional
WANTIMPRES,Dewan Pertimbangan Presiden
WAPANGAB,wakil panglima angkatan bersenjata
WAPRES,Wakil Presiden
WARA,wanita angkatan udara
WARIA,wanita pria
WARNET,warung internet
WARTEG,warung tegal
WARTEL,warung telekomunikasi
WASANTARA,Wawasan Nusantara
WASERA,warung selera Nusantara
WASERDA,warung serba ada
WASKAT,pengawasan melekat
WASNAS,kewaspadaan nasional
WIB,Waktu Indonesia Barat
WISDOM,wisatawan domestik
WISMAN,wisatawan mancanegara
WISNU,wisatawan nusantara
WIT,Waktu Indonesia Timur
WITA,Waktu Indonesia Tengah
WITEL,wilayah usaha telekomunikasi
WLH,wahana lingkungan hidup
WNA,warga negara asing
WNI,warga indonesia
WO,"""""1 wayang orang, 2 walk-over"
WP,wajib pajak
WPUT,Wilayah Pelayanan Universal Telekomunikasi
WPPMU,wilayah perlindungan dan pengelolaan mutu udara
WTS,Wanita Tuna Susila
WTW,wilayah tujuan wisata
YBS.,yang bersangkutan
YEU,Yayasan Emergensi Unit
YLKI,Yayasan Lembaga Konsumen Indonesia
YM,Yang Mulia
YON,batalion
YONPUR,batalion tempur
YONZIPI,batalion zeni pionir
YPAC,"""""Yayasan Pendidikan Anak (atau """"""""Anak-anak"""""""") Cacat"
YPOC,Yayasan Pembina Olahraga Cacat
YTC.,Yang Tercinta
YTH.,Yang Terhormat
ZEE,Zona Ekonomi Eksklusif
ZI,Zeni
ZIPUR,zeni tempur
ZIS,"""""zakat, infak, dan sedekah"
A.D.C.,aide-de-camp
A.I.,ad interim
A.M.,ante meridiem
A.M.V.B.,Algemene Maatregel van Bestuur
A,"""""1 ampere, 2 Angstrom"
AAP,Australian Associated Press
ABP,Agence Burundaise de Presse
ABU,Asian Broadcasting Union
AC,"""""1 air conditioning, 2 air conditioner, 3 alternating current, 4 ante Christum"
ACC,"""""accoord (Bld), accord (Ing)"
ACPI,Advanced Configuration and Power Interface
ACR,Advanced Communication Riser
ACTED,Agency for Technical Cooperational and Development
ADB,Asian Development Bank
ADC,Analog to Digital Converter
ADHD,attention deficit hyperactivity disorder
ADPCM,Adaptive Differential Pulse-Code Modulation
ADSL,Asymmetric Digital Subscriber Line
AF,audio frequency
AFP,"""""1 Agence France de Presse, 2 alpha-fetoprotein"
AG,Asian Games
AGP,Accelerated Graphics Port
AI,artificial intelligence
AIDS,acquired immunodeficiency syndrome
AIFTA,Asosiasi Industri Formalin dan Thermosetting Adhesive
AIPO,Asian Inter-Parliamentary Organization
AIPS,Association Internale de la Presse Sportive
ALU,Arithmetic Logic Unit
AM,Active Matrix
AMP,Agence Madagascar de Presse
AMR,Audio Modem Riser
AMSS,Association of Muslim Social Sciences
ANA,"""""1 Aden News Agency, 2 Athens News Agency"
ANC,African National Congress
ANFE,Asian Network for Free Election
ANGOP,Agencia Angolana de Prensa
ANP,Algemen Nederlands Persbureu
ANSI,American National Standards Institute
APA,Austria Press Agentur
APS,Algerie Presse Service
ARNA,Arab Revolutionary News Agency
ASEAN,Association of South East Asia Nations
ASEANTA,ASEAN Tourism Association
ASEANTTA,ASEAN Tourism and Travel Association
ASIC,Application Specific Integrated Circuit
ASITA,Association of the Indonesian Tours and Travel Agencies
ASOSAI,Asian Organization of Supreme Audit Institutions
AT,Advanced Technology
ATA,"""""1 Air Transport Association, 2 actual time of arrival, 3 Advanced Technology Attachment"
ATC,air traffic control
ATP,"""""1 automatic teller person, 2 Agence Tchadienne de Presse"
ATRA,advanced technology regional aircraft
ATX,Advenced Technology Extended
AVA,Audio Visual Aids
AVDP,avoirdupois
